SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,07,0,178,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,08,0,150,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,09,0,206,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,10,0,183,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,11,0,167,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,12,0,150,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,13,23,150,106
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,14,15,144,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,15,20,128,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,16,0,167,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,17,0,156,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,18,0,167,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,19,0,156,100
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,20,0,144,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,21,0,172,61
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,22,0,228,61
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,23,0,178,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,24,0,172,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,25,0,144,100
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,26,0,156,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,27,0,133,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,28,0,167,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,29,0,133,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,30,0,133,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,03,31,0,161,50
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,01,0,161,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,02,0,167,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,03,0,183,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,04,0,139,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,05,0,133,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,06,0,150,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,07,0,144,56
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,08,0,133,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,09,0,144,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,10,0,189,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,11,0,272,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,12,0,289,117
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,13,0,278,100
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,14,0,144,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,15,0,150,72
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,16,0,194,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,17,0,244,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,18,0,161,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,19,0,128,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,20,0,128,56
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,21,0,133,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,22,8,156,83
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,23,0,161,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,24,0,178,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,25,0,211,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,26,0,250,100
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,27,0,244,106
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,28,0,178,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,29,0,161,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,04,30,0,150,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,01,0,189,67
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,02,0,144,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,03,0,156,100
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,04,0,139,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,05,0,194,78
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,06,0,183,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,07,0,161,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,08,0,167,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,09,0,150,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,10,0,172,89
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,11,0,161,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,12,0,161,94
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,2008,05,13,0,261,83
