02/05/2010,12:43:39,38.83,38.83,38.85,100
02/05/2010,12:44:20,38.85,38.83,38.86,100
02/05/2010,12:44:21,38.8375,38.83,38.86,100
02/05/2010,12:44:30,38.86,38.85,38.86,100
02/05/2010,12:44:30,38.86,38.85,38.86,100
02/05/2010,12:44:30,38.86,38.85,38.86,100
02/05/2010,12:44:31,38.86,38.85,38.87,500
02/05/2010,12:44:31,38.86,38.86,38.88,100
02/05/2010,12:44:32,38.86,38.86,38.88,100
02/05/2010,12:44:33,38.89,38.88,38.89,100
02/05/2010,12:44:33,38.88,38.87,38.89,100
02/05/2010,12:44:33,38.88,38.87,38.89,100
02/05/2010,12:44:33,38.89,38.87,38.89,100
02/05/2010,12:44:33,38.88,38.88,38.89,100
02/05/2010,12:44:33,38.88,38.87,38.88,100
02/05/2010,12:44:34,38.87,38.87,38.88,200
02/05/2010,12:44:35,38.88,38.87,38.88,100
02/05/2010,12:44:36,38.87,38.87,38.88,100
02/05/2010,12:44:40,38.88,38.88,38.89,100
02/05/2010,12:44:40,38.88,38.88,38.89,100
02/05/2010,12:44:46,38.88,38.87,38.89,100
02/05/2010,12:44:47,38.87,38.87,38.89,100
02/05/2010,12:44:56,38.88,38.87,38.88,100
02/05/2010,12:45:00,38.87,38.87,38.88,400
02/05/2010,12:45:00,38.87,38.85,38.86,100
02/05/2010,12:45:00,38.85,38.85,38.85,197
02/05/2010,12:45:00,38.8725,38.84,38.85,100
02/05/2010,12:45:00,38.84,38.84,38.85,100
02/05/2010,12:45:00,38.85,38.84,38.85,100
02/05/2010,12:45:00,38.84,38.84,38.85,100
02/05/2010,12:45:01,38.85,38.85,38.87,100
02/05/2010,12:45:01,38.85,38.84,38.86,100
02/05/2010,12:45:01,38.85,38.84,38.86,100
02/05/2010,12:45:01,38.85,38.84,38.86,100
02/05/2010,12:45:17,38.88,38.87,38.88,100
02/05/2010,12:45:18,38.88,38.87,38.9,100
02/05/2010,12:45:18,38.88,38.87,38.89,100
02/05/2010,12:45:18,38.87,38.87,38.88,100
02/05/2010,12:45:18,38.88,38.87,38.88,100
02/05/2010,12:45:18,38.88,38.86,38.89,100
02/05/2010,12:45:19,38.86,38.86,38.88,100
02/05/2010,12:45:19,38.86,38.86,38.88,100
02/05/2010,12:45:19,38.87,38.85,38.88,100
02/05/2010,12:45:26,38.87,38.85,38.88,100
02/05/2010,12:45:26,38.87,38.86,38.88,100
02/05/2010,12:45:26,38.89,38.87,38.89,100
02/05/2010,12:45:34,38.89,38.89,38.9,100
02/05/2010,12:45:34,38.89,38.89,38.9,100
02/05/2010,12:45:35,38.9,38.88,38.9,100
02/05/2010,12:45:45,38.9,38.89,38.9,100
02/05/2010,12:45:52,38.8985,38.89,38.9,124
02/05/2010,12:45:55,38.9,38.89,38.9,100
02/05/2010,12:45:55,38.9,38.89,38.9,100
02/05/2010,12:45:55,38.9,38.89,38.9,100
02/05/2010,12:45:55,38.9,38.89,38.9,100
02/05/2010,12:45:55,38.91,38.89,38.91,100
02/05/2010,12:45:55,38.91,38.89,38.91,100
02/05/2010,12:45:56,38.9,38.9,38.92,100
02/05/2010,12:46:12,38.91,38.91,38.93,100
02/05/2010,12:46:12,38.91,38.91,38.93,100
02/05/2010,12:46:12,38.91,38.91,38.93,100
02/05/2010,12:46:13,38.93,38.92,38.94,100
02/05/2010,12:46:13,38.93,38.92,38.94,100
02/05/2010,12:46:13,38.93,38.92,38.94,100
02/05/2010,12:46:13,38.93,38.92,38.94,1000
02/05/2010,12:46:14,38.94,38.93,38.94,100
02/05/2010,12:46:17,38.94,38.95,38.96,400
02/05/2010,12:46:17,38.94,38.95,38.96,200
02/05/2010,12:46:17,38.94,38.95,38.96,200
02/05/2010,12:46:17,38.94,38.95,38.96,161
02/05/2010,12:46:18,38.96,38.95,38.96,100
02/05/2010,12:46:18,38.95,38.95,38.96,100
02/05/2010,12:46:18,38.95,38.95,38.96,100
02/05/2010,12:46:18,38.95,38.95,38.96,100
02/05/2010,12:46:18,38.95,38.94,38.96,100
02/05/2010,12:46:18,38.94,38.93,38.95,100
02/05/2010,12:46:19,38.95,38.93,38.95,100
02/05/2010,12:46:22,38.93,38.93,38.94,200
02/05/2010,12:46:22,38.93,38.92,38.94,100
02/05/2010,12:46:22,38.92,38.92,38.94,200
02/05/2010,12:46:22,38.93,38.92,38.94,100
02/05/2010,12:46:22,38.91,38.91,38.93,100
